id,name,album,genres,artist,release_date,popularity,duration_ms,explicit,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_score,multiplier,music_score,breathing_score
6xrTHtSg2SDBLilLxhbhof,Sympathy is a knife featuring ariana grande,Sympathy is a knife featuring ariana grande,"art pop, candy pop, metropopolis, pop, uk pop","Charli xcx, Ariana Grande",2024-10-10,67,154126,True,https://open.spotify.com/track/6xrTHtSg2SDBLilLxhbhof,0.711,0.603,3,-7.815,1,0.0405,0.0962,0.0,0.112,0.339,135.151,4,0.6638233434148794,1.1262583333333334,0.47980625,0.6024843122765863
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,The Rise and Fall of a Midwest Princess,indie pop,Chappell Roan,2023-09-22,86,258034,False,https://open.spotify.com/track/1k2pQc5i348DCHwbn5KTdc,0.61,0.65,6,-6.199,1,0.0474,0.399,0.0,0.11,0.507,106.719,4,0.6267785544468049,0.8893249999999999,0.5481604166666667,0.6005725085200921
2tudvzsrR56uom6smgOcSf,Like That,WE DON'T TRUST YOU,"atl hip hop, hip hop, rap, southern hip hop, trap","Future, Metro Boomin, Kendrick Lamar",2024-03-22,84,267706,True,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,4,0.6670507159073625,0.9000666666666667,0.42515868333333334,0.5864200383826862
0izPpjfwsu2DuzWGqsABkT,KEHLANI,KEHLANI,irish hip hop,Jordan Adetunji,2024-05-19,41,122360,False,https://open.spotify.com/track/0izPpjfwsu2DuzWGqsABkT,0.644,0.634,10,-3.769,0,0.0341,0.163,3.15e-06,0.0903,0.353,160.024,4,0.6256292917071469,0.8890222222222223,0.5063483104166666,0.5858689646103201
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,MILLION DOLLAR BABY,chill abstract hip hop,Tommy Richman,2024-04-26,45,155151,False,https://open.spotify.com/track/7fzHQizxTqy8wTXwlrgPQQ,0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,4,0.6087563425947824,1.1500249999999999,0.535089375,0.5842006867298549
73KAidtqbDftZjy8AD0H04,High Road (feat. Jessie Murph),High Road (feat. Jessie Murph),"classic texas country, modern country pop","Koe Wetzel, Jessie Murph",2024-06-07,74,179413,True,https://open.spotify.com/track/73KAidtqbDftZjy8AD0H04,0.614,0.743,6,-5.046,1,0.0313,0.0839,0.0,0.107,0.623,138.077,4,0.6073578133799665,1.1506416666666666,0.5159375,0.5768843755866443
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,"art pop, pop",Billie Eilish,2024-05-17,97,210373,False,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,0.5708145963272238,0.8748166666666666,0.5153104166666667,0.552313203107038
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,The Rise and Fall of a Midwest Princess,indie pop,Chappell Roan,2023-09-22,89,184841,False,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7,0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,4,0.5718641246279644,1.1665166666666666,0.5058229166666667,0.5498503886408651
2qSkIjg1o9h3YT9RAgYN75,Espresso,Espresso,pop,Sabrina Carpenter,2024-04-12,91,175459,True,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,4,0.5375226873723737,0.8664083333333333,0.5039081750000001,0.5263178499149158
2hKYtHbwYOSjvYQhVdUpdQ,TGIF,TGIF,southern hip hop,GloRilla,2024-06-21,78,164571,True,https://open.spotify.com/track/2hKYtHbwYOSjvYQhVdUpdQ,0.891,0.526,8,-6.52,0,0.368,0.0787,3.04e-05,0.133,0.203,140.06,4,0.5704314156583882,1.1671666666666667,0.4068829666666666,0.515915265994481
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Ain't No Love In Oklahoma (From Twisters: The Album),"contemporary country, country",Luke Combs,2024-05-16,83,210950,False,https://open.spotify.com/track/6GG4yyk3UATdBfTHVgI8PB,0.487,0.658,5,-9.973,1,0.0296,0.00877,0.00777,0.1,0.282,142.18,4,0.5320931093947553,1.1848333333333334,0.4822154166666667,0.5154672118187258
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,THE FIRST TIME,australian hip hop,The Kid LAROI,2023-11-10,88,86983,False,https://open.spotify.com/track/1XBYiRV30ykHw5f4wm6qEn,0.482,0.757,6,-4.586,1,0.0355,0.0137,0.0016,0.143,0.12,142.579,4,0.5250050309586018,1.1881583333333334,0.4551708333333333,0.5017269650835123
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,HIT ME HARD AND SOFT,"art pop, pop",Billie Eilish,2024-05-17,92,261466,False,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,0.4308307006941311,1.234175,0.5763922083333334,0.4793512032405318
1xmvq1fYLs9TEgikaFilGW,Thick Of It (feat. Trippie Redd),Thick Of It (feat. Trippie Redd) / Low,"social media pop, uk hip hop","KSI, Trippie Redd",2024-10-03,81,160842,False,https://open.spotify.com/track/1xmvq1fYLs9TEgikaFilGW,0.588,0.826,11,-3.733,0,0.0485,0.0768,0.0,0.327,0.648,145.825,4,0.4687824654207767,1.2152083333333332,0.4841354166666667,0.47390011583607333
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Diet Pepsi,social media pop,Addison Rae,2024-08-09,88,169697,False,https://open.spotify.com/track/6MzofobZt2dm0Kf1hTThFz,0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,4,0.40170247502047474,0.8337166666666666,0.6087691666666667,0.4707247055692054
00vR63trn1CzygcjgAFaiM,WHISKEY WHISKEY (feat. Morgan Wallen),SPEAK NOW,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap","Moneybagg Yo, Morgan Wallen",2024-06-13,64,161052,False,https://open.spotify.com/track/00vR63trn1CzygcjgAFaiM,0.736,0.715,5,-3.819,0,0.0701,0.0269,0.0,0.158,0.708,152.017,4,0.44782857741579163,0.8445388888888888,0.49901874999999996,0.4648919682771944
5Uptvz6j1sjDKxidAcnH2L,SI NO ES CONTIGO,SI NO ES CONTIGO,"mambo chileno, trap latino, urbano chileno, urbano latino",Cris Mj,2024-05-23,85,156000,True,https://open.spotify.com/track/5Uptvz6j1sjDKxidAcnH2L,0.763,0.626,5,-5.637,0,0.0433,0.0859,0.225,0.205,0.78,100.02,4,0.40076677538215033,0.8335,0.54495625,0.44882993358810025
5AH31dDNgxCMGDdxubNNn4,NEL,PERO NO TE ENAMORES,"corrido, corridos tumbados, sad sierreno, sierreno",Fuerza Regida,2024-07-25,88,149073,True,https://open.spotify.com/track/5AH31dDNgxCMGDdxubNNn4,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,4,0.40109072645716287,0.833575,0.5411270833333334,0.44776951208255306
